"","character","trait_max","trait_min","avg_rating","number_ratings","anchor_trait"
"925","Bernard Lowe","utilitarian","decorative",75.1,107,"decorative"
"926","Bernard Lowe","kind","cruel",75,249,"cruel"
"927","Bernard Lowe","philosophical","real",75,187,"philosophical"
"928","Bernard Lowe","logical","emotional",74.8,268,"emotional"
"929","Bernard Lowe","interesting","tiresome",74.6,240,"interesting"
"930","Bernard Lowe","😭","😀",74.4,22,"😀"
"931","Bernard Lowe","intense","lighthearted",74.4,34,"intense"
"932","Bernard Lowe","politically correct","edgy",74.3,233,"edgy"
"933","Bernard Lowe","cooperative","competitive",74.3,244,"competitive"
"934","Bernard Lowe","deep","epic",74.3,30,"deep"
"935","Bernard Lowe","knowledgeable","ignorant",74.2,48,"ignorant"
"936","Bernard Lowe","indie","pop",74.2,29,"indie"
"937","Bernard Lowe","humble","arrogant",74.1,258,"arrogant"
"938","Bernard Lowe","first-mate","captain",74.1,229,"captain"
"939","Bernard Lowe","builder","explorer",73.9,216,"builder"
"940","Bernard Lowe","🤔","🤫",73.9,17,"🤔"
"941","Bernard Lowe","subdued","exuberant",73.8,30,"exuberant"
"942","Bernard Lowe","vanilla","kinky",73.6,256,"kinky"
"943","Bernard Lowe","thrifty","extravagant",73.6,18,"extravagant"
"944","Bernard Lowe","devout","heathen",73.4,257,"devout"
"945","Bernard Lowe","highbrow","lowbrow",73.3,268,"highbrow"
"946","Bernard Lowe","pensive","serene",73.3,24,"pensive"
"947","Bernard Lowe","thinker","doer",73.1,20,"doer"
"948","Bernard Lowe","main character","side character",73.1,11,"main character"
"949","Bernard Lowe","complimentary","insulting",72.7,94,"complimentary"
"950","Bernard Lowe","work-first","family-first",72.6,250,"family-first"
"951","Bernard Lowe","existentialist","nihilist",72.6,94,"existentialist"
"952","Bernard Lowe","sage","whippersnapper",72.6,26,"sage"
"953","Bernard Lowe","pacifist","ferocious",72.3,242,"ferocious"
"954","Bernard Lowe","mild","spicy",72.3,234,"mild"
"955","Bernard Lowe","heroic","villainous",72.2,232,"heroic"
"956","Bernard Lowe","overachiever","underachiever",72.1,21,"overachiever"
"957","Bernard Lowe","beta","alpha",72,241,"alpha"
"958","Bernard Lowe","gracious","feisty",72,285,"feisty"
"959","Bernard Lowe","driven","unambitious",71.9,249,"driven"
"960","Bernard Lowe","submissive","dominant",71.8,257,"dominant"
"961","Bernard Lowe","nurturing","poisonous",71.7,105,"nurturing"
"962","Bernard Lowe","🌟","💩",71.7,28,"🌟"
"963","Bernard Lowe","well behaved","mischievous",71.5,263,"mischievous"
"964","Bernard Lowe","formal","intimate",71.5,36,"formal"
"965","Bernard Lowe","soulful","soulless",71.4,105,"soulful"
"966","Bernard Lowe","wholesome","salacious",71.4,34,"salacious"
"967","Bernard Lowe","🥴","🥳",71.4,25,"🥳"
"968","Bernard Lowe","wise","foolish",71.3,259,"foolish"
"969","Bernard Lowe","loveable","punchable",71.1,46,"loveable"
"970","Bernard Lowe","chaste","lustful",71,226,"chaste"
"971","Bernard Lowe","gendered","androgynous",71,108,"androgynous"
"972","Bernard Lowe","go-getter","slugabed",71,27,"go-getter"
"973","Bernard Lowe","earth","air",71,24,"air"
"974","Bernard Lowe","legit","scrub",70.9,24,"legit"
"975","Bernard Lowe","good-cook","bad-cook",70.8,22,"bad-cook"
"976","Bernard Lowe","urban","rural",70.8,31,"rural"
"977","Bernard Lowe","🥶","🥵",70.8,26,"🥵"
"978","Bernard Lowe","masculine","feminine",70.7,242,"feminine"
"979","Bernard Lowe","mysterious","unambiguous",70.7,266,"mysterious"
"980","Bernard Lowe","obsessed","aloof",70.5,223,"aloof"
"981","Bernard Lowe","French","Russian",70.5,24,"French"
"982","Bernard Lowe","water","fire",70.2,26,"fire"
"983","Bernard Lowe","unlucky","fortunate",70.1,234,"fortunate"
"984","Bernard Lowe","meek","bossy",70,257,"bossy"
"985","Bernard Lowe","compersive","jealous",69.9,227,"compersive"
"986","Bernard Lowe","corporate","freelance",69.9,47,"corporate"
"987","Bernard Lowe","triggered","trolling",69.8,33,"triggered"
"988","Bernard Lowe","winter","summer",69.8,24,"summer"
"989","Bernard Lowe","penny-pincher","overspender",69.7,18,"overspender"
"990","Bernard Lowe","careful","brave",69.6,283,"brave"
"991","Bernard Lowe","reasonable","deranged",69.6,34,"deranged"
"992","Bernard Lowe","metrosexual","macho",69.6,38,"macho"
"993","Bernard Lowe","coordinated","clumsy",69.5,265,"clumsy"
"994","Bernard Lowe","resolute","wavering",69.5,28,"resolute"
"995","Bernard Lowe","honorable","cunning",69.4,282,"cunning"
"996","Bernard Lowe","passive","assertive",69.3,211,"assertive"
"997","Bernard Lowe","English","German",69.3,21,"English"
"998","Bernard Lowe","clean","perverted",69.2,30,"clean"
"999","Bernard Lowe","lover","fighter",69.1,20,"fighter"
"1000","Bernard Lowe","dry","moist",69.1,33,"dry"
"1001","Bernard Lowe","asexual","sexual",69.1,22,"asexual"
"1002","Bernard Lowe","stick-in-the-mud","adventurous",69,232,"adventurous"
"1003","Bernard Lowe","stoic","hypochondriac",69,27,"hypochondriac"
"1004","Bernard Lowe","moderate","extreme",68.8,252,"extreme"
"1005","Bernard Lowe","frank","sugarcoated",68.6,26,"frank"
"1006","Bernard Lowe","old","young",68.5,271,"old"
"1007","Bernard Lowe","pure","debased",68.4,245,"debased"
"1008","Bernard Lowe","no-nonsense","dramatic",68.4,114,"dramatic"
"1009","Bernard Lowe","involved","remote",68.3,237,"involved"
"1010","Bernard Lowe","fresh","stinky",68.3,30,"fresh"
"1011","Bernard Lowe","trusting","charming",68.2,241,"charming"
"1012","Bernard Lowe","preppy","punk rock",68.2,31,"preppy"
"1013","Bernard Lowe","accepting","judgemental",68.1,156,"accepting"
"1014","Bernard Lowe","distant","touchy-feely",67.9,27,"distant"
"1015","Bernard Lowe","🐴","🦄",67.8,23,"🐴"
"1016","Bernard Lowe","lost","enlightened",67.8,42,"enlightened"
"1017","Bernard Lowe","cryptic","straightforward",67.6,251,"cryptic"
"1018","Bernard Lowe","slow-talking","fast-talking",67.5,50,"fast-talking"
"1019","Bernard Lowe","fixable","unfixable",67.5,40,"fixable"
"1020","Bernard Lowe","active","slothful",67.4,271,"active"
"1021","Bernard Lowe","practical","imaginative",67.2,252,"imaginative"
"1022","Bernard Lowe","classical","avant-garde",67,96,"avant-garde"
"1023","Bernard Lowe","dorky","cool",66.7,32,"cool"
"1024","Bernard Lowe","oppressed","privileged",66.7,30,"oppressed"
"1025","Bernard Lowe","vintage","trendy",66.7,21,"trendy"
"1026","Bernard Lowe","thick","thin",66.6,158,"thick"
"1027","Bernard Lowe","inspiring","cringeworthy",66.4,90,"cringeworthy"
"1028","Bernard Lowe","self-conscious","self-assured",65.9,218,"self-assured"
"1029","Bernard Lowe","democratic","authoritarian",65.8,257,"authoritarian"
"1030","Bernard Lowe","chortling","giggling",65.8,36,"chortling"
"1031","Bernard Lowe","rigid","flexible",65.7,251,"flexible"
"1032","Bernard Lowe","generous","stingy",65.7,22,"generous"
"1033","Bernard Lowe","forgiving","vengeful",65.5,254,"forgiving"
"1034","Bernard Lowe","extraordinary","mundane",65.5,276,"extraordinary"
"1035","Bernard Lowe","warm","quarrelsome",65.3,265,"quarrelsome"
"1036","Bernard Lowe","sturdy","flimsy",65.3,41,"flimsy"
"1037","Bernard Lowe","industrial","domestic",65.2,103,"domestic"
"1038","Bernard Lowe","atheist","theist",65.2,98,"atheist"
"1039","Bernard Lowe","night owl","morning lark",65.1,130,"morning lark"
"1040","Bernard Lowe","codependent","independent",65,269,"codependent"
"1041","Bernard Lowe","sheltered","street-smart",65,237,"sheltered"
"1042","Bernard Lowe","straight","queer",65,98,"queer"
"1043","Bernard Lowe","unassuming","pretentious",65,26,"pretentious"
"1044","Bernard Lowe","awkward","charming",64.9,282,"awkward"
"1045","Bernard Lowe","low self esteem","narcissistic",64.9,36,"low self esteem"
"1046","Bernard Lowe","attractive","repulsive",64.8,287,"attractive"
"1047","Bernard Lowe","gullible","cynical",64.8,29,"cynical"
"1048","Bernard Lowe","insecure","confident",64.7,250,"confident"
"1049","Bernard Lowe","arcane","mainstream",64.7,254,"arcane"
"1050","Bernard Lowe","western","eastern",64.6,20,"eastern"
"1051","Bernard Lowe","🚴","🏋️‍♂️",64.4,16,"🏋️‍♂️"
"1052","Bernard Lowe","open-minded","close-minded",64.3,287,"close-minded"
"1053","Bernard Lowe","obedient","rebellious",64.2,232,"obedient"
"1054","Bernard Lowe","🐐","🦒",64.2,23,"🐐"
"1055","Bernard Lowe","washed","muddy",64.2,22,"muddy"
"1056","Bernard Lowe","shy","bold",64,243,"bold"
"1057","Bernard Lowe","depressed","bright",64,248,"bright"
"1058","Bernard Lowe","📈","📉",64,20,"📈"
"1059","Bernard Lowe","consistent","variable",63.6,48,"consistent"
"1060","Bernard Lowe","chosen one","everyman",63.5,29,"chosen one"
"1061","Bernard Lowe","rock","rap",63.5,28,"rap"
"1062","Bernard Lowe","presidential","folksy",63.4,41,"folksy"
"1063","Bernard Lowe","Pepsi","Coke",63.4,18,"Coke"
"1064","Bernard Lowe","sheriff","outlaw",63.3,215,"outlaw"
"1065","Bernard Lowe","repetitive","varied",63.1,108,"repetitive"
"1066","Bernard Lowe","sensitive","thick-skinned",63,317,"sensitive"
"1067","Bernard Lowe","reassuring","fearmongering",62.9,39,"fearmongering"
"1068","Bernard Lowe","realistic","ambitious",62.6,14,"ambitious"
"1069","Bernard Lowe","vegan","cannibal",62.5,35,"cannibal"
"1070","Bernard Lowe","💀","🎃",62.5,16,"🎃"
"1071","Bernard Lowe","😬","😏",62.3,36,"😏"
"1072","Bernard Lowe","purple","orange",62.2,174,"orange"
"1073","Bernard Lowe","rich","poor",62.2,234,"poor"
"1074","Bernard Lowe","smooth","rough",62.2,244,"rough"
"1075","Bernard Lowe","disarming","creepy",62.2,121,"creepy"
"1076","Bernard Lowe","claustrophobic","spelunker",62,26,"claustrophobic"
"1077","Bernard Lowe","tailor","blacksmith",61.8,44,"blacksmith"
"1078","Bernard Lowe","angelic","demonic",61.7,225,"angelic"
"1079","Bernard Lowe","bashful","exhibitionist",61.7,30,"bashful"
"1080","Bernard Lowe","centrist","radical",61.7,33,"centrist"
"1081","Bernard Lowe","equitable","hypocritical",61.6,120,"equitable"
"1082","Bernard Lowe","🙋‍♂️","🙅‍♂️",61.6,27,"🙅‍♂️"
"1083","Bernard Lowe","stubborn","accommodating",61.4,17,"accommodating"
"1084","Bernard Lowe","manicured","scruffy",61.3,271,"manicured"
"1085","Bernard Lowe","hesitant","decisive",61.2,234,"decisive"
"1086","Bernard Lowe","alert","oblivious",61.1,26,"alert"
"1087","Bernard Lowe","realistic","fantastical",60.8,33,"fantastical"
"1088","Bernard Lowe","open to new experinces","uncreative",60.7,237,"open to new experinces"
"1089","Bernard Lowe","pronatalist","child free",60.6,174,"child free"
"1090","Bernard Lowe","hurried","leisurely",60.6,268,"hurried"
"1091","Bernard Lowe","soft","hard",60.5,251,"hard"
"1092","Bernard Lowe","grateful","entitled",60.5,32,"entitled"
"1093","Bernard Lowe","ivory-tower","blue-collar",60.4,239,"blue-collar"
"1094","Bernard Lowe","proactive","reactive",60.4,33,"proactive"
"1095","Bernard Lowe","beautiful","ugly",59.9,94,"beautiful"
"1096","Bernard Lowe","vulnerable","armoured",59.8,241,"armoured"
"1097","Bernard Lowe","gamer","non-gamer",59.8,22,"gamer"
"1098","Bernard Lowe","soft","hard",59.7,109,"hard"
"1099","Bernard Lowe","🐿","🦇",59.6,21,"🐿"
"1100","Bernard Lowe","weird","normal",59.5,269,"normal"
"1101","Bernard Lowe","stylish","slovenly",59.5,264,"slovenly"
"1102","Bernard Lowe","basic","hipster",59.5,215,"basic"
"1103","Bernard Lowe","patriotic","unpatriotic",59.5,27,"patriotic"
"1104","Bernard Lowe","cat person","dog person",59.5,17,"cat person"
"1105","Bernard Lowe","strict","lenient",59.4,255,"lenient"
"1106","Bernard Lowe","hoarder","unprepared",59.4,216,"hoarder"
"1107","Bernard Lowe","geriatric","vibrant",59.4,54,"geriatric"
"1108","Bernard Lowe","circular","linear",59.4,44,"circular"
"1109","Bernard Lowe","prideful","envious",59.4,56,"envious"
"1110","Bernard Lowe","oxymoron","tautology",59.1,28,"oxymoron"
"1111","Bernard Lowe","liberal","conservative",59,34,"conservative"
"1112","Bernard Lowe","regular","zany",59,33,"regular"
"1113","Bernard Lowe","businesslike","chivalrous",59,21,"businesslike"
"1114","Bernard Lowe","down2earth","head@clouds",58.9,209,"down2earth"
"1115","Bernard Lowe","traditional","unorthodox",58.9,101,"traditional"
"1116","Bernard Lowe","emotional","unemotional",58.8,38,"emotional"
"1117","Bernard Lowe","mad","glad",58.7,34,"glad"
"1118","Bernard Lowe","not genocidal","genocidal",58.4,24,"genocidal"
"1119","Bernard Lowe","autistic","neurotypical",58,252,"autistic"
"1120","Bernard Lowe","frenzied","sleepy",58,26,"frenzied"
"1121","Bernard Lowe","slow","fast",57.7,233,"fast"
"1122","Bernard Lowe","Roman","Greek",57.7,24,"Greek"
"1123","Bernard Lowe","innocent","worldly",57.6,252,"innocent"
"1124","Bernard Lowe","👨‍⚕️","👨‍🔧",57.5,26,"👨‍⚕️"
"1125","Bernard Lowe","innocent","jaded",57.5,30,"innocent"
"1126","Bernard Lowe","romantic","dispassionate",57.4,34,"dispassionate"
"1127","Bernard Lowe","picky","always down",57.4,28,"always down"
"1128","Bernard Lowe","objective","subjective",57.3,103,"objective"
"1129","Bernard Lowe","chic","cheesy",57.3,31,"cheesy"
"1130","Bernard Lowe","yes-man","contrarian",57.2,27,"contrarian"
"1131","Bernard Lowe","master","apprentice",57.1,111,"apprentice"
"1132","Bernard Lowe","🐘","🐀",56.7,26,"🐀"
"1133","Bernard Lowe","👨‍🚀","🧙",56.6,24,"👨‍🚀"
"1134","Bernard Lowe","chill","offended",56.6,24,"chill"
"1135","Bernard Lowe","efficient","overprepared",56.5,35,"efficient"
"1136","Bernard Lowe","badass","weakass",56.4,25,"badass"
"1137","Bernard Lowe","idealist","realist",56.2,106,"idealist"
"1138","Bernard Lowe","neutral","opinionated",56.2,26,"neutral"
"1139","Bernard Lowe","'left-brained'","'right-brained'",56.1,213,"'left-brained'"
"1140","Bernard Lowe","normie","freak",55.9,17,"freak"
"1141","Bernard Lowe","factual","poetic",55.8,33,"factual"
"1142","Bernard Lowe","predictable","quirky",55.8,30,"predictable"
"1143","Bernard Lowe","demanding","unchallenging",55.5,24,"demanding"
"1144","Bernard Lowe","pessimistic","optimistic",55.4,255,"optimistic"
"1145","Bernard Lowe","communal","individualist",55.4,97,"communal"
"1146","Bernard Lowe","high standards","desperate",55.2,20,"desperate"
"1147","Bernard Lowe","reliable","experimental",55,35,"experimental"
"1148","Bernard Lowe","two-faced","one-faced",55,20,"one-faced"
"1149","Bernard Lowe","forward-thinking","stuck-in-the-past",54.9,22,"forward-thinking"
"1150","Bernard Lowe","proletariat","bourgeoisie",54.8,209,"bourgeoisie"
"1151","Bernard Lowe","rhythmic","stuttering",54.8,49,"rhythmic"
"1152","Bernard Lowe","ranged","melee",54.7,30,"melee"
"1153","Bernard Lowe","socialist","libertarian",54.6,210,"libertarian"
"1154","Bernard Lowe","anxious","calm",54.6,289,"anxious"
"1155","Bernard Lowe","natural-talent","hard-work",54.6,23,"hard-work"
"1156","Bernard Lowe","biased","impartial",54.5,253,"biased"
"1157","Bernard Lowe","Swedish","Italian",54.5,28,"Italian"
"1158","Bernard Lowe","💔","💝",54.4,35,"💔"
"1159","Bernard Lowe","🤺","🏌",54.4,30,"🏌"
"1160","Bernard Lowe","suspicious","awkward",54.3,224,"awkward"
"1161","Bernard Lowe","f***-the-police","tattle-tale",54.3,46,"f***-the-police"
"1162","Bernard Lowe","still","twitchy",54.3,24,"still"
"1163","Bernard Lowe","direct","roundabout",54,246,"direct"
"1164","Bernard Lowe","mighty","puny",53.9,228,"mighty"
"1165","Bernard Lowe","stable","moody",53.7,251,"moody"
"1166","Bernard Lowe","creative","conventional",53.6,236,"conventional"
"1167","Bernard Lowe","theoretical","empirical",53.6,243,"empirical"
"1168","Bernard Lowe","short","tall",53.6,234,"short"
"1169","Bernard Lowe","goth","flower child",53.6,21,"flower child"
"1170","Bernard Lowe","official","backdoor",53.5,252,"backdoor"
"1171","Bernard Lowe","transparent","machiavellian",53.5,28,"machiavellian"
"1172","Bernard Lowe","sweet","bitter",53.4,243,"bitter"
"1173","Bernard Lowe","masochistic","pain-avoidant",53.4,37,"masochistic"
"1174","Bernard Lowe","paranoid","naive",53.4,21,"naive"
"1175","Bernard Lowe","🙃","🥰",53.2,28,"🥰"
"1176","Bernard Lowe","off-key","musical",52.8,33,"musical"
"1177","Bernard Lowe","princess","queen",52.7,27,"princess"
"1178","Bernard Lowe","often crying","never cries",52.5,31,"never cries"
"1179","Bernard Lowe","permanent","transient",52.4,105,"permanent"
"1180","Bernard Lowe","deviant","average",52.3,171,"average"
"1181","Bernard Lowe","sickly","healthy",52.2,228,"healthy"
"1182","Bernard Lowe","conspiracist","sheeple",52.2,196,"conspiracist"
"1183","Bernard Lowe","🧗","🛌",52.2,34,"🧗"
"1184","Bernard Lowe","sane","crazy",52.1,27,"crazy"
"1185","Bernard Lowe","trusting","suspicious",51.9,222,"suspicious"
"1186","Bernard Lowe","cold","warm",51.9,264,"cold"
"1187","Bernard Lowe","🐒","🐩",51.9,28,"🐒"
"1188","Bernard Lowe","historical","modern",51.8,148,"historical"
"1189","Bernard Lowe","self-improving","self-destructive",51.7,31,"self-destructive"
"1190","Bernard Lowe","focused on the present","focused on the future",51.5,241,"focused on the future"
"1191","Bernard Lowe","outsider","insider",51.4,168,"insider"
"1192","Bernard Lowe","monochrome","multicolored",51.3,95,"monochrome"
"1193","Bernard Lowe","concrete","abstract",51.3,29,"abstract"
"1194","Bernard Lowe","🥾","👟",51.3,26,"👟"
"1195","Bernard Lowe","uninspiring","charismatic",51.2,292,"charismatic"
"1196","Bernard Lowe","wooden","plastic",51.2,18,"plastic"
"1197","Bernard Lowe","literal","metaphorical",51.1,248,"literal"
"1198","Bernard Lowe","long-winded","concise",51.1,27,"concise"
"1199","Bernard Lowe","angry","good-humored",51,237,"angry"
"1200","Bernard Lowe","statist","anarchist",50.9,28,"anarchist"
"1201","Bernard Lowe","nonpolitical","political",50.2,236,"nonpolitical"
"1202","Bernard Lowe","resistant","resigned",50.8,274,"resigned"
"1203","Bernard Lowe","provincial","cosmopolitan",50.6,197,"cosmopolitan"
"1204","Teddy Flood","loyal","traitorous",93.4,255,"loyal"
"1205","Teddy Flood","devoted","unfaithful",93.4,42,"devoted"
"1206","Teddy Flood","rural","urban",91.6,30,"rural"
"1207","Teddy Flood","chivalrous","businesslike",91,29,"businesslike"
"1208","Teddy Flood","genuine","sarcastic",90.9,247,"genuine"
"1209","Teddy Flood","🥾","👟",90.5,33,"👟"
"1210","Teddy Flood","love-focused","money-focused",90.5,31,"love-focused"
"1211","Teddy Flood","respectful","rude",90.3,256,"respectful"
"1212","Teddy Flood","🤠","🤑",90.1,25,"🤑"
"1213","Teddy Flood","naive","paranoid",89.7,28,"naive"
"1214","Teddy Flood","clean","perverted",89.2,26,"clean"
"1215","Teddy Flood","honorable","cunning",89,283,"cunning"
"1216","Teddy Flood","vanilla","kinky",88.8,243,"kinky"
"1217","Teddy Flood","one-faced","two-faced",88.7,20,"one-faced"
"1218","Teddy Flood","generous","stingy",88.5,17,"generous"
"1219","Teddy Flood","diligent","lazy",88.3,240,"diligent"
"1220","Teddy Flood","white knight","bad boy",87.7,27,"bad boy"
"1221","Teddy Flood","transparent","machiavellian",87.7,23,"machiavellian"
"1222","Teddy Flood","giving","receiving",87.6,31,"giving"
"1223","Teddy Flood","gendered","androgynous",87.6,97,"androgynous"
"1224","Teddy Flood","heroic","villainous",87.3,303,"heroic"
"1225","Teddy Flood","romantic","dispassionate",87.3,40,"dispassionate"
"1226","Teddy Flood","traditional","unorthodox",86.9,113,"traditional"
"1227","Teddy Flood","unassuming","pretentious",86.7,23,"pretentious"
"1228","Teddy Flood","altruistic","selfish",86.4,252,"altruistic"
"1229","Teddy Flood","provincial","cosmopolitan",86.4,249,"cosmopolitan"
"1230","Teddy Flood","physical","intellectual",86,229,"intellectual"
"1231","Teddy Flood","attractive","repulsive",86,245,"attractive"
"1232","Teddy Flood","kind","cruel",86,256,"cruel"
"1233","Teddy Flood","trusting","suspicious",85.7,248,"suspicious"
"1234","Teddy Flood","nurturing","poisonous",85.5,92,"nurturing"
"1235","Teddy Flood","straightforward","cryptic",85.3,254,"cryptic"
"1236","Teddy Flood","historical","modern",85.3,148,"historical"
"1237","Teddy Flood","wholesome","salacious",85.1,21,"salacious"
"1238","Teddy Flood","vintage","trendy",85,31,"trendy"
"1239","Teddy Flood","😇","😈",84.9,29,"😇"
"1240","Teddy Flood","dog person","cat person",84.9,34,"cat person"
"1241","Teddy Flood","flower child","goth",84.9,27,"flower child"
"1242","Teddy Flood","blue-collar","ivory-tower",84.9,231,"blue-collar"
"1243","Teddy Flood","western","eastern",84.7,31,"eastern"
"1244","Teddy Flood","innocent","worldly",84.4,259,"innocent"
"1245","Teddy Flood","country-bumpkin","city-slicker",84.2,31,"city-slicker"
"1246","Teddy Flood","classical","avant-garde",84.1,118,"avant-garde"
"1247","Teddy Flood","sporty","bookish",84,252,"bookish"
"1248","Teddy Flood","devout","heathen",83.9,246,"devout"
"1249","Teddy Flood","stuck-in-the-past","forward-thinking",83.7,23,"forward-thinking"
"1250","Teddy Flood","complimentary","insulting",83.6,97,"complimentary"
"1251","Teddy Flood","conventional","creative",83.6,260,"conventional"
"1252","Teddy Flood","codependent","independent",83.6,268,"codependent"
"1253","Teddy Flood","rock","rap",83.6,32,"rap"
"1254","Teddy Flood","luddite","technophile",83.5,239,"luddite"
"1255","Teddy Flood","doer","thinker",83.5,19,"doer"
"1256","Teddy Flood","well behaved","mischievous",83.4,267,"mischievous"
"1257","Teddy Flood","unlucky","fortunate",83.3,276,"fortunate"
"1258","Teddy Flood","angelic","demonic",83.2,270,"angelic"
"1259","Teddy Flood","first-mate","captain",83.2,253,"captain"
"1260","Teddy Flood","proper","scandalous",83.2,247,"proper"
"1261","Teddy Flood","patriotic","unpatriotic",82.9,33,"patriotic"
"1262","Teddy Flood","idealist","realist",82.7,104,"idealist"
"1263","Teddy Flood","empath","psychopath",82.6,34,"empath"
"1264","Teddy Flood","masculine","feminine",82.5,240,"feminine"
"1265","Teddy Flood","obedient","rebellious",82.4,239,"obedient"
"1266","Teddy Flood","pure","debased",82.2,251,"debased"
"1267","Teddy Flood","emotional","unemotional",82.2,44,"emotional"
"1268","Teddy Flood","works hard","plays hard",82.1,264,"plays hard"
"1269","Teddy Flood","beautiful","ugly",82.1,109,"beautiful"
"1270","Teddy Flood","confidential","gossiping",82.1,241,"confidential"
"1271","Teddy Flood","summer","winter",82,21,"summer"
"1272","Teddy Flood","persistent","quitter",81.8,33,"persistent"
"1273","Teddy Flood","cheesy","chic",81.8,34,"cheesy"
"1274","Teddy Flood","humble","arrogant",81.6,253,"arrogant"
"1275","Teddy Flood","👨‍🔧","👨‍⚕️",81.5,31,"👨‍⚕️"
"1276","Teddy Flood","water","fire",81.5,24,"fire"
"1277","Teddy Flood","gullible","cynical",81.5,31,"cynical"
"1278","Teddy Flood","warm","cold",81.3,255,"cold"
"1279","Teddy Flood","straight","queer",81.3,129,"queer"
"1280","Teddy Flood","sweet","bitter",81.2,238,"bitter"
"1281","Teddy Flood","optimistic","pessimistic",81.2,262,"optimistic"
"1282","Teddy Flood","lost","enlightened",81.2,44,"enlightened"
"1283","Teddy Flood","active","slothful",81,246,"active"
"1284","Teddy Flood","sheeple","conspiracist",81,156,"conspiracist"
"1285","Teddy Flood","repetitive","varied",80.9,105,"repetitive"
"1286","Teddy Flood","low-tech","high-tech",80.8,278,"high-tech"
"1287","Teddy Flood","modest","flamboyant",80.7,258,"flamboyant"
"1288","Teddy Flood","emotional","logical",80.7,265,"emotional"
"1289","Teddy Flood","proletariat","bourgeoisie",80.7,225,"bourgeoisie"
"1290","Teddy Flood","protagonist","antagonist",80.6,22,"antagonist"
"1291","Teddy Flood","traumatized","flourishing",80.5,44,"flourishing"
"1292","Teddy Flood","folksy","presidential",80.4,44,"folksy"
"1293","Teddy Flood","🥵","🥶",80.4,21,"🥵"
"1294","Teddy Flood","workaholic","slacker",79.8,112,"slacker"
"1295","Teddy Flood","yes-man","contrarian",79.7,34,"contrarian"
"1296","Teddy Flood","enslaved","emancipated",79.6,267,"emancipated"
"1297","Teddy Flood","unambiguous","mysterious",79.5,228,"mysterious"
"1298","Teddy Flood","consistent","variable",79.3,38,"consistent"
"1299","Teddy Flood","mild","spicy",79,241,"mild"
"1300","Teddy Flood","monochrome","multicolored",79,102,"monochrome"
"1301","Teddy Flood","basic","hipster",78.7,272,"basic"
"1302","Teddy Flood","disarming","creepy",78.6,103,"creepy"
"1303","Teddy Flood","😊","🤣",78.6,19,"🤣"
"1304","Teddy Flood","normie","freak",78.5,28,"freak"
"1305","Teddy Flood","civilized","barbaric",78.4,285,"barbaric"
"1306","Teddy Flood","healthy","sickly",78.4,227,"healthy"
"1307","Teddy Flood","tasteful","lewd",78.3,270,"lewd"
"1308","Teddy Flood","family-first","work-first",78.2,214,"family-first"
"1309","Teddy Flood","🙋‍♂️","🙅‍♂️",78.2,30,"🙅‍♂️"
"1310","Teddy Flood","frugal","lavish",78.1,237,"frugal"
"1311","Teddy Flood","human","animalistic",78.1,244,"animalistic"
"1312","Teddy Flood","reassuring","fearmongering",78.1,20,"fearmongering"
"1313","Teddy Flood","princess","queen",78,25,"princess"
"1314","Teddy Flood","cooperative","competitive",77.9,229,"competitive"
"1315","Teddy Flood","accepting","judgemental",77.9,164,"accepting"
"1316","Teddy Flood","preppy","punk rock",77.9,44,"preppy"
"1317","Teddy Flood","normal","weird",77.9,265,"normal"
"1318","Teddy Flood","charming","awkward",77.7,248,"awkward"
"1319","Teddy Flood","simple","complicated",77.6,239,"complicated"
"1320","Teddy Flood","jock","nerd",77.6,244,"jock"
"1321","Teddy Flood","warm","quarrelsome",77.4,275,"quarrelsome"
"1322","Teddy Flood","theist","atheist",77.3,108,"atheist"
"1323","Teddy Flood","sheriff","outlaw",77.3,230,"outlaw"
"1324","Teddy Flood","scheduled","spontaneous",77.2,255,"scheduled"
"1325","Teddy Flood","💪","🧠",77.2,28,"💪"
"1326","Teddy Flood","orderly","chaotic",77.1,251,"chaotic"
"1327","Teddy Flood","average","deviant",77.1,157,"average"
"1328","Teddy Flood","submissive","dominant",76.9,257,"dominant"
"1329","Teddy Flood","soulful","soulless",76.9,117,"soulful"
"1330","Teddy Flood","English","German",76.9,37,"English"
"1331","Teddy Flood","triggered","trolling",76.7,29,"triggered"
"1332","Teddy Flood","open-book","secretive",76.6,38,"open-book"
"1333","Teddy Flood","reliable","experimental",76.4,41,"experimental"
"1334","Teddy Flood","boy/girl-next-door","celebrity",76.3,30,"boy/girl-next-door"
"1335","Teddy Flood","morning lark","night owl",76.2,135,"morning lark"
"1336","Teddy Flood","lover","fighter",76.2,26,"fighter"
"1337","Teddy Flood","brave","careful",76.1,265,"brave"
"1338","Teddy Flood","equitable","hypocritical",76.1,116,"equitable"
"1339","Teddy Flood","democratic","authoritarian",76,266,"authoritarian"
"1340","Teddy Flood","reasonable","deranged",75.9,26,"deranged"
"1341","Teddy Flood","politically correct","edgy",75.9,237,"edgy"
"1342","Teddy Flood","ignorant","knowledgeable",75.8,53,"ignorant"
"1343","Teddy Flood","predictable","quirky",75.8,26,"predictable"
"1344","Teddy Flood","motivated","unmotivated",75.7,28,"motivated"
"1345","Teddy Flood","meek","bossy",75.6,260,"bossy"
"1346","Teddy Flood","earth","air",75.5,13,"air"
